datum,category,model,forecast,forecast_day
2019-10-09,M01AB,LightGBM,4.97224052301036,1
2019-10-10,M01AB,LightGBM,5.837525326362311,2
2019-10-11,M01AB,LightGBM,6.223235828561311,3
2019-10-12,M01AB,LightGBM,7.032792319022129,4
2019-10-13,M01AB,LightGBM,7.035093526557247,5
2019-10-14,M01AB,LightGBM,6.913400793348012,6
2019-10-15,M01AB,LightGBM,4.415609321218535,7
2019-10-16,M01AB,LightGBM,5.507842164605754,8
2019-10-17,M01AB,LightGBM,6.22322815557519,9
2019-10-18,M01AB,LightGBM,6.276361860953887,10
2019-10-19,M01AB,LightGBM,6.697626069458736,11
2019-10-20,M01AB,LightGBM,7.128588982941757,12
2019-10-21,M01AB,LightGBM,6.8954199777144005,13
2019-10-22,M01AB,LightGBM,6.386403198784193,14
2019-10-23,M01AB,LightGBM,5.162087267024887,15
2019-10-24,M01AB,LightGBM,6.109225859902779,16
2019-10-25,M01AB,LightGBM,5.2653399317117815,17
2019-10-26,M01AB,LightGBM,6.294880430145611,18
2019-10-27,M01AB,LightGBM,6.300287100343514,19
2019-10-28,M01AB,LightGBM,5.707393554267447,20
2019-10-29,M01AB,LightGBM,5.34077890378446,21
2019-10-30,M01AB,LightGBM,7.03949040410247,22
2019-10-31,M01AB,LightGBM,5.436747717500376,23
2019-11-01,M01AB,LightGBM,4.698386086985813,24
2019-11-02,M01AB,LightGBM,6.5785675248230655,25
2019-11-03,M01AB,LightGBM,7.425209154879383,26
2019-11-04,M01AB,LightGBM,5.691025867868664,27
2019-11-05,M01AB,LightGBM,7.333954553280989,28
2019-11-06,M01AB,LightGBM,5.360864495091734,29
2019-11-07,M01AB,LightGBM,6.157977298521069,30
2019-10-09,M01AE,SARIMA,3.5506733739252168,1
2019-10-10,M01AE,SARIMA,3.780796077634952,2
2019-10-11,M01AE,SARIMA,3.7747402647283073,3
2019-10-12,M01AE,SARIMA,4.161425819519167,4
2019-10-13,M01AE,SARIMA,4.688706064851592,5
2019-10-14,M01AE,SARIMA,3.656495217725324,6
2019-10-15,M01AE,SARIMA,3.6027276347346238,7
2019-10-16,M01AE,SARIMA,3.614088407087837,8
2019-10-17,M01AE,SARIMA,3.790305459106577,9
2019-10-18,M01AE,SARIMA,3.78288276358527,10
2019-10-19,M01AE,SARIMA,4.164366766327418,11
2019-10-20,M01AE,SARIMA,4.684609275856028,12
2019-10-21,M01AE,SARIMA,3.6661732623723946,13
2019-10-22,M01AE,SARIMA,3.613123207518557,14
2019-10-23,M01AE,SARIMA,3.62433237019094,15
2019-10-24,M01AE,SARIMA,3.798197803374888,16
2019-10-25,M01AE,SARIMA,3.790874163821113,17
2019-10-26,M01AE,SARIMA,4.1672672576219965,18
2019-10-27,M01AE,SARIMA,4.680567124145011,19
2019-10-28,M01AE,SARIMA,3.6757221524085537,20
2019-10-29,M01AE,SARIMA,3.623380051221576,21
2019-10-30,M01AE,SARIMA,3.6344396274733946,22
2019-10-31,M01AE,SARIMA,3.805984824207032,23
2019-11-01,M01AE,SARIMA,3.798758918717645,24
2019-11-02,M01AE,SARIMA,4.170129041822806,25
2019-11-03,M01AE,SARIMA,4.676578915000758,26
2019-11-04,M01AE,SARIMA,3.685143612383911,27
2019-11-05,M01AE,SARIMA,3.6335000172129694,28
2019-11-06,M01AE,SARIMA,3.644412003276938,29
2019-11-07,M01AE,SARIMA,3.813667927145646,30
2019-10-09,N02BA,SARIMA,2.889239262328568,1
2019-10-10,N02BA,SARIMA,3.0066374616635008,2
2019-10-11,N02BA,SARIMA,2.9175986140322907,3
2019-10-12,N02BA,SARIMA,3.0280637012536142,4
