category,model,config_id,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,MAE,RMSE,MAPE,sMAPE,WAPE,MASE,num_leaves,validation_rank
M01AB,LightGBM,1,300,,0.05,0.8,0.8,2.314711690592716,2.8561859151421936,66.49753150093566,50.36002363981778,45.827530455719064,0.7909381866813462,15.0,1.0
M01AB,XGBoost,1,300,3.0,0.05,0.8,0.8,2.3429156543103216,2.8687934376424122,67.82744740101396,50.96631912710908,46.38592311062012,0.8005754957296783,,1.0
M01AE,LightGBM,1,300,,0.05,0.8,0.8,1.5852556530487865,2.1111518080576124,125.10750188136002,44.75774271218144,40.2968293900944,0.6986750704109075,15.0,1.0
M01AE,XGBoost,1,300,3.0,0.05,0.8,0.8,1.5848491967117193,2.1013958099326295,120.1387402046783,44.71921388522363,40.286497364696594,0.6984959315386549,,1.0
N02BA,LightGBM,1,300,,0.05,0.8,0.8,1.7188663625682228,2.1138695469357343,112.22056283062128,64.57199603471012,59.21648899555255,0.7178187981035988,15.0,1.0
N02BA,XGBoost,3,500,4.0,0.05,0.8,0.8,1.7008990090468834,2.0997596497058946,106.78621107628547,64.17775509013546,58.59749753976195,0.7103154200687177,,1.0
N02BE,LightGBM,5,500,,0.03,0.8,0.8,9.29999070945267,12.416460432567124,32.17537523107071,32.856235091340174,30.56124537567148,0.7504337233841221,63.0,1.0
N02BE,XGBoost,1,300,3.0,0.05,0.8,0.8,9.085865828883147,12.02045949381116,32.87537767677211,32.086099857016166,29.857597036596236,0.733155584468172,,1.0
N05B,LightGBM,4,700,,0.03,0.8,0.8,3.677374581993174,4.4919089987271255,62.68371186394231,43.865686093183506,42.36756272182477,0.7253623598116624,31.0,1.0
N05B,XGBoost,4,700,4.0,0.03,0.8,0.8,4.128542991433564,4.9378287977549755,69.67284028704819,47.24070654446737,47.565539011395785,0.8143553559961243,,1.0
N05C,LightGBM,1,300,,0.05,0.8,0.8,0.9557944446585819,1.2353389245414328,56.636943084954126,159.2051856580702,149.37865272807775,1.1586637395038764,15.0,1.0
N05C,XGBoost,5,500,5.0,0.03,0.8,0.8,0.8451059110965794,1.1579692044398122,62.489458768456075,164.30732058869623,132.0794268240762,1.0244813418828458,,1.0
R03,LightGBM,1,300,,0.05,0.8,0.8,5.8562852211387675,8.357061307129605,98.74313613337215,100.18781031410968,79.98380129341801,1.0487486395664658,15.0,1.0
R03,XGBoost,1,300,3.0,0.05,0.8,0.8,6.076521714985143,8.166489875502577,129.69695960687855,96.26338558154498,82.99174084830571,1.088188782008736,,1.0
R06,LightGBM,1,300,,0.05,0.8,0.8,1.8663724200202896,2.3756702521333515,87.52361595414115,69.46106755449489,59.83285449987662,0.9335083739510864,15.0,1.0
R06,XGBoost,5,500,5.0,0.03,0.8,0.8,1.8614602693104652,2.3622147070031065,88.75873041309525,68.23609701953424,59.67537896308145,0.9310514506851066,,1.0
