category,model,config_id,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,MAE,RMSE,MAPE,sMAPE,WAPE,MASE,num_leaves,validation_rank
M01AB,LightGBM,1,300,,0.05,0.8,0.8,2.314711690592716,2.8561859151421936,66.49753150093566,50.36002363981778,45.827530455719064,0.7909381866813462,15.0,1.0
M01AB,LightGBM,2,500,,0.05,0.8,0.8,2.337260563494936,2.8963447098248776,67.47600595911175,50.65822685663372,46.273961501048966,0.7986431482614311,15.0,2.0
M01AB,LightGBM,5,500,,0.03,0.8,0.8,2.360897602996251,2.8851630456885005,68.55286889115689,51.13984906410721,46.741936476952844,0.8067199369335003,63.0,3.0
M01AB,LightGBM,3,500,,0.05,0.8,0.8,2.381909918911769,2.9367298789943828,68.39945830395251,51.415316995125515,47.15794619059325,0.813899856193311,31.0,4.0
M01AB,LightGBM,4,700,,0.03,0.8,0.8,2.411060292014756,2.9486505981715907,69.37030215395842,52.06780758273821,47.73507621356843,0.8238605538200884,31.0,5.0
M01AB,XGBoost,1,300,3.0,0.05,0.8,0.8,2.3429156543103216,2.8687934376424122,67.82744740101396,50.96631912710908,46.38592311062012,0.8005754957296783,,1.0
M01AB,XGBoost,2,500,3.0,0.05,0.8,0.8,2.373374205238518,2.8987852268317598,68.96209892758894,51.53886775933357,46.98895292896504,0.8109831983986532,,2.0
M01AB,XGBoost,5,500,5.0,0.03,0.8,0.8,2.391465878852026,2.916370181349543,70.27423322167951,51.54694178879811,47.34713867057922,0.8171651326672077,,3.0
M01AB,XGBoost,4,700,4.0,0.03,0.8,0.8,2.4177633600308064,2.9505787226341633,71.82539617111036,51.82130345975139,47.867786068925696,0.8261509956420067,,4.0
M01AB,XGBoost,3,500,4.0,0.05,0.8,0.8,2.4426608953439413,2.9730303083029708,72.99771147670774,52.37559261464578,48.360716813809454,0.8346584963875372,,5.0
M01AE,LightGBM,1,300,,0.05,0.8,0.8,1.5852556530487865,2.1111518080576124,125.10750188136002,44.75774271218144,40.2968293900944,0.6986750704109075,15.0,1.0
M01AE,LightGBM,5,500,,0.03,0.8,0.8,1.598956086923273,2.123172702900835,129.3087036041825,44.969083158348305,40.64509122745084,0.7047133088385754,63.0,2.0
M01AE,LightGBM,2,500,,0.05,0.8,0.8,1.6005549795165241,2.1239604482648526,123.97508109285604,45.271949153861954,40.68573470468394,0.7054179941636336,15.0,3.0
