datum,category,model,forecast
2019-10-09,M01AB,LightGBM,4.97224052301036
2019-10-10,M01AB,LightGBM,5.837525326362311
2019-10-11,M01AB,LightGBM,6.223235828561311
2019-10-12,M01AB,LightGBM,7.032792319022129
2019-10-13,M01AB,LightGBM,7.035093526557247
2019-10-14,M01AB,LightGBM,6.913400793348012
2019-10-15,M01AB,LightGBM,4.415609321218535
2019-10-16,M01AB,LightGBM,5.507842164605754
2019-10-17,M01AB,LightGBM,6.22322815557519
2019-10-18,M01AB,LightGBM,6.2763618609538865
2019-10-19,M01AB,LightGBM,6.697626069458736
2019-10-20,M01AB,LightGBM,7.128588982941757
2019-10-21,M01AB,LightGBM,6.8954199777144005
2019-10-22,M01AB,LightGBM,6.386403198784193
2019-10-23,M01AB,LightGBM,5.162087267024887
2019-10-24,M01AB,LightGBM,6.109225859902779
2019-10-25,M01AB,LightGBM,5.2653399317117815
2019-10-26,M01AB,LightGBM,6.294880430145611
2019-10-27,M01AB,LightGBM,6.300287100343514
2019-10-28,M01AB,LightGBM,5.707393554267447
2019-10-29,M01AB,LightGBM,5.34077890378446
2019-10-30,M01AB,LightGBM,7.03949040410247
2019-10-31,M01AB,LightGBM,5.436747717500376
2019-11-01,M01AB,LightGBM,4.698386086985813
2019-11-02,M01AB,LightGBM,6.5785675248230655
2019-11-03,M01AB,LightGBM,7.425209154879383
2019-11-04,M01AB,LightGBM,5.691025867868664
2019-11-05,M01AB,LightGBM,7.333954553280989
2019-11-06,M01AB,LightGBM,5.360864495091734
2019-11-07,M01AB,LightGBM,6.157977298521069
2019-10-09,M01AE,SARIMA,3.5506733739252168
2019-10-10,M01AE,SARIMA,3.7807960776349523
2019-10-11,M01AE,SARIMA,3.7747402647283073
2019-10-12,M01AE,SARIMA,4.161425819519167
2019-10-13,M01AE,SARIMA,4.688706064851592
2019-10-14,M01AE,SARIMA,3.656495217725324
2019-10-15,M01AE,SARIMA,3.6027276347346233
2019-10-16,M01AE,SARIMA,3.6140884070878374
2019-10-17,M01AE,SARIMA,3.790305459106577
2019-10-18,M01AE,SARIMA,3.78288276358527
2019-10-19,M01AE,SARIMA,4.164366766327418
2019-10-20,M01AE,SARIMA,4.684609275856028
2019-10-21,M01AE,SARIMA,3.6661732623723946
2019-10-22,M01AE,SARIMA,3.613123207518557
2019-10-23,M01AE,SARIMA,3.62433237019094
2019-10-24,M01AE,SARIMA,3.7981978033748884
2019-10-25,M01AE,SARIMA,3.790874163821113
2019-10-26,M01AE,SARIMA,4.1672672576219965
2019-10-27,M01AE,SARIMA,4.680567124145011
2019-10-28,M01AE,SARIMA,3.6757221524085537
2019-10-29,M01AE,SARIMA,3.6233800512215764
2019-10-30,M01AE,SARIMA,3.6344396274733946
2019-10-31,M01AE,SARIMA,3.8059848242070324
2019-11-01,M01AE,SARIMA,3.798758918717645
2019-11-02,M01AE,SARIMA,4.170129041822806
2019-11-03,M01AE,SARIMA,4.676578915000758
2019-11-04,M01AE,SARIMA,3.6851436123839107
2019-11-05,M01AE,SARIMA,3.6335000172129703
2019-11-06,M01AE,SARIMA,3.6444120032769374
2019-11-07,M01AE,SARIMA,3.813667927145646
2019-10-09,N02BA,SARIMA,2.8892392623285676
2019-10-10,N02BA,SARIMA,3.0066374616635008
2019-10-11,N02BA,SARIMA,2.9175986140322907
2019-10-12,N02BA,SARIMA,3.0280637012536142
2019-10-13,N02BA,SARIMA,2.924029257701468
2019-10-14,N02BA,SARIMA,2.9766755189341545
2019-10-15,N02BA,SARIMA,2.9336457182035534
2019-10-16,N02BA,SARIMA,2.9585962045755583
2019-10-17,N02BA,SARIMA,2.94087341072206
2019-10-18,N02BA,SARIMA,2.9787258543638413
2019-10-19,N02BA,SARIMA,2.932963226416257
2019-10-20,N02BA,SARIMA,2.976089755307118
2019-10-21,N02BA,SARIMA,2.954266198128494
2019-10-22,N02BA,SARIMA,2.9721034478355435
2019-10-23,N02BA,SARIMA,2.961760661514992
2019-10-24,N02BA,SARIMA,2.969107334744322
2019-10-25,N02BA,SARIMA,2.9534162683900225
2019-10-26,N02BA,SARIMA,2.9723863628565566
2019-10-27,N02BA,SARIMA,2.954509017001105
2019-10-28,N02BA,SARIMA,2.9635555897142907
2019-10-29,N02BA,SARIMA,2.9561614708198634
2019-10-30,N02BA,SARIMA,2.9604488914149556
2019-10-31,N02BA,SARIMA,2.957403456932155
2019-11-01,N02BA,SARIMA,2.963907913174542
2019-11-02,N02BA,SARIMA,2.9560441933619166
2019-11-03,N02BA,SARIMA,2.9634549334111386
2019-11-04,N02BA,SARIMA,2.95970483542367
2019-11-05,N02BA,SARIMA,2.962769937674457
2019-11-06,N02BA,SARIMA,2.9609926626936622
2019-11-07,N02BA,SARIMA,2.9622550941234422
2019-10-09,N02BE,LightGBM,39.9490942525423
2019-10-10,N02BE,LightGBM,29.001567939032146
2019-10-11,N02BE,LightGBM,29.13217171892594
2019-10-12,N02BE,LightGBM,40.836141065121154
2019-10-13,N02BE,LightGBM,43.95018165424369
2019-10-14,N02BE,LightGBM,40.559429639469656
2019-10-15,N02BE,LightGBM,29.14825669566169
2019-10-16,N02BE,LightGBM,31.505963854348536
2019-10-17,N02BE,LightGBM,27.510073768009896
2019-10-18,N02BE,LightGBM,30.771498571981624
2019-10-19,N02BE,LightGBM,38.372880051589526
2019-10-20,N02BE,LightGBM,41.29331276724748
2019-10-21,N02BE,LightGBM,38.26552827984298
2019-10-22,N02BE,LightGBM,30.058107419512382
2019-10-23,N02BE,LightGBM,29.40833703253627
2019-10-24,N02BE,LightGBM,27.968474120370804
2019-10-25,N02BE,LightGBM,32.00539795058279
2019-10-26,N02BE,LightGBM,36.89411311652378
2019-10-27,N02BE,LightGBM,39.87675546519621
2019-10-28,N02BE,LightGBM,34.78648198004
2019-10-29,N02BE,LightGBM,28.246897293867583
2019-10-30,N02BE,LightGBM,25.88492015803562
2019-10-31,N02BE,LightGBM,28.95492153922721
2019-11-01,N02BE,LightGBM,29.546897120660304
2019-11-02,N02BE,LightGBM,33.206965674084664
2019-11-03,N02BE,LightGBM,36.80750867175519
2019-11-04,N02BE,LightGBM,29.28777861901048
2019-11-05,N02BE,LightGBM,31.48247147100451
2019-11-06,N02BE,LightGBM,30.149098301584814
2019-11-07,N02BE,LightGBM,31.987202867474274
2019-10-09,N05B,SARIMA,10.805059564677197
2019-10-10,N05B,SARIMA,9.167800477113055
2019-10-11,N05B,SARIMA,9.407535795466071
2019-10-12,N05B,SARIMA,8.3707556032586
2019-10-13,N05B,SARIMA,6.767875290421922
2019-10-14,N05B,SARIMA,9.075916508879084
2019-10-15,N05B,SARIMA,9.785995079819562
2019-10-16,N05B,SARIMA,9.442154799291265
2019-10-17,N05B,SARIMA,8.995832713921466
2019-10-18,N05B,SARIMA,9.390318242620149
2019-10-19,N05B,SARIMA,8.385715689720067
2019-10-20,N05B,SARIMA,6.802804342924924
2019-10-21,N05B,SARIMA,9.086541917129104
2019-10-22,N05B,SARIMA,9.789077569799499
2019-10-23,N05B,SARIMA,9.448921205177038
2019-10-24,N05B,SARIMA,9.007373099141764
2019-10-25,N05B,SARIMA,9.39764003576727
2019-10-26,N05B,SARIMA,8.403780938693032
2019-10-27,N05B,SARIMA,6.837797594228698
2019-10-28,N05B,SARIMA,9.097112379649126
2019-10-29,N05B,SARIMA,9.792134962442764
2019-10-30,N05B,SARIMA,9.455616304382096
2019-10-31,N05B,SARIMA,9.018790210361368
2019-11-01,N05B,SARIMA,9.404883547014146
