category,model,MAE,RMSE,sMAPE,WAPE,MASE
M01AB,ETS,2.221277326379455,2.793687740794059,47.02539124469653,43.5356626046616,0.7823675683593075
M01AB,Moving Average,2.2741409281308202,2.875448229266741,48.42453460986253,44.560756172849985,0.800850977648211
M01AB,Naive,3.1050135030898147,3.752492108215623,63.6609414639037,61.21892309940712,1.0935387535384489
M01AB,SARIMA,2.2265421699228183,2.7979997766257134,47.168382190734036,43.68791560041259,0.7840979721817356
M01AB,Seasonal Naive,3.039915509262963,3.839248581286252,63.72610322958321,59.82101992809018,1.0701572559389065
M01AE,ETS,1.6883261232287925,2.089540905155648,47.19487971584206,44.77114990752253,0.7614366245077294
M01AE,Moving Average,1.7531048941800265,2.210301441654138,48.89771281703288,46.82468472741756,0.7906609275752357
M01AE,Naive,2.206459413578704,2.674409062094181,62.077610310604555,59.57545172231278,0.9950836230445531
M01AE,SARIMA,1.6869461000266728,2.1025218191331088,47.08587768930612,44.72675770814587,0.7608136622854974
M01AE,Seasonal Naive,2.182254398147222,2.693201362934469,62.50532488261322,58.17894876527852,0.9841581339876819
N02BA,ETS,1.6438943908438512,2.0525562581014185,54.88727289381541,49.55949708831409,0.6348779489647793
N02BA,Moving Average,1.717838955017328,2.1406084906928915,57.14110355903139,51.36834901684778,0.663159355334755
N02BA,Naive,2.0921180555620373,2.550012184599227,74.54747839150386,62.357233986984916,0.8078629005531623
N02BA,SARIMA,1.6432731265404634,2.0465831201731883,54.62877176851189,49.57410791736035,0.634635689522933
N02BA,Seasonal Naive,2.344425154307407,2.9264091774686887,79.26662506774794,71.01187335631724,0.90597971920927
N02BE,ETS,10.23306610219929,12.865700865691355,35.451949611440924,34.79496095827139,0.8683917133302383
N02BE,Moving Average,10.23989658289418,12.885712304019622,35.78057722135425,34.850023204048256,0.8691810938218564
N02BE,Naive,13.30001898148148,16.004712447941987,45.03804548261476,47.62049831715064,1.1289871507454419
N02BE,SARIMA,10.303637970304766,12.946957546005839,35.37921340773816,34.727340664594735,0.8745220886614953
N02BE,Seasonal Naive,12.729047376537036,15.843106042877114,44.1860923745677,43.37192528159167,1.080903396603628
N05B,ETS,3.7078605941127702,4.710281512518143,49.407774715257894,46.281742921653745,0.6850222279219613
N05B,Moving Average,3.9964296737011904,5.111702081133818,52.159032180067385,49.869545020427736,0.7379935925287627
N05B,Naive,4.80329475309537,5.921319279214458,63.930365820403445,59.452380642048915,0.8885366129950009
N05B,SARIMA,3.684704643620363,4.699406455739252,48.867984951644964,45.96189141637119,0.6807796056366073
N05B,Seasonal Naive,4.855424382687963,6.088524946460276,64.78588762579044,60.85461277840053,0.8976069102942572
N05C,ETS,0.8053444307712093,1.1032655502547508,166.6154744281351,149.99638935450616,0.9639093204318065
N05C,Moving Average,0.8036155202794973,1.1623459532834028,169.08867568680975,147.22007239045087,0.96114509919897
N05C,Naive,0.8569444444379629,1.3564795586925391,182.64269742836274,152.2245512787449,1.0252865936278168
N05C,SARIMA,0.8154834459836007,1.1022107603284743,165.46432194813806,152.41453395215365,0.9761997685613019
N05C,Seasonal Naive,0.9139660493814815,1.512168217877088,176.71268779520088,166.55945950729486,1.0917620034965652
R03,ETS,5.0846527433702695,6.577934944797241,90.9800769125505,84.83615013807952,0.9389313851420089
R03,Moving Average,5.255435681216005,6.882593969309278,92.45151722242157,86.04029259315871,0.9687832567413229
R03,Naive,6.045129243832408,7.802914746232029,115.61065277258598,102.25373814679163,1.1259234622269334
R03,SARIMA,5.069203838683694,6.561802099746477,90.8113502897491,84.7234493508389,0.9362294123673346
R03,Seasonal Naive,6.751070601850926,9.140253677203726,116.34102813560061,114.81108681600881,1.2451708372884709
R06,ETS,1.7284044338359805,2.158604762318369,67.28854031603387,61.27569130094815,0.8671708992047665
R06,Moving Average,1.7644272486825399,2.2133860794643705,69.03407942522394,63.57763287163137,0.8851293919015512
R06,Naive,2.0979259259314817,2.5637870073192426,95.53559615004377,74.83910923318713,1.0533384009845834
R06,SARIMA,1.7195976611884438,2.1487064201420485,66.91111178731904,60.98381968493262,0.8629286075664493
R06,Seasonal Naive,2.1998487654342593,2.7930020187332123,88.36786078151442,79.45995744248474,1.1029281830154571
