category,model,MAE,RMSE,sMAPE,WAPE,MASE,MASE_rank,sMAPE_rank,MAE_rank
M01AB,Moving Average,2.2741409281308202,2.875448229266741,48.42453460986253,44.560756172849985,0.800850977648211,1.0,1.0,1.0
M01AB,Seasonal Naive,3.039915509262963,3.839248581286252,63.72610322958321,59.82101992809018,1.0701572559389065,2.0,3.0,2.0
M01AB,Naive,3.1050135030898147,3.752492108215623,63.6609414639037,61.21892309940712,1.0935387535384489,3.0,2.0,3.0
M01AE,Moving Average,1.7531048941800265,2.210301441654138,48.89771281703288,46.82468472741756,0.7906609275752357,1.0,1.0,1.0
M01AE,Seasonal Naive,2.182254398147222,2.693201362934469,62.50532488261322,58.17894876527852,0.9841581339876819,2.0,3.0,2.0
M01AE,Naive,2.206459413578704,2.674409062094181,62.077610310604555,59.57545172231278,0.9950836230445531,3.0,2.0,3.0
N02BA,Moving Average,1.717838955017328,2.1406084906928915,57.14110355903139,51.36834901684778,0.663159355334755,1.0,1.0,1.0
N02BA,Naive,2.0921180555620373,2.550012184599227,74.54747839150386,62.357233986984916,0.8078629005531623,2.0,2.0,2.0
N02BA,Seasonal Naive,2.344425154307407,2.9264091774686887,79.26662506774794,71.01187335631724,0.90597971920927,3.0,3.0,3.0
N02BE,Moving Average,10.23989658289418,12.885712304019622,35.78057722135425,34.850023204048256,0.8691810938218564,1.0,1.0,1.0
N02BE,Seasonal Naive,12.729047376537036,15.843106042877114,44.1860923745677,43.37192528159167,1.080903396603628,2.0,2.0,2.0
N02BE,Naive,13.30001898148148,16.004712447941987,45.03804548261476,47.62049831715064,1.1289871507454419,3.0,3.0,3.0
N05B,Moving Average,3.9964296737011904,5.111702081133818,52.159032180067385,49.869545020427736,0.7379935925287627,1.0,1.0,1.0
N05B,Naive,4.80329475309537,5.921319279214458,63.930365820403445,59.452380642048915,0.8885366129950009,2.0,2.0,2.0
N05B,Seasonal Naive,4.855424382687963,6.088524946460276,64.78588762579044,60.85461277840053,0.8976069102942572,3.0,3.0,3.0
N05C,Moving Average,0.8036155202794973,1.1623459532834028,169.08867568680975,147.22007239045087,0.96114509919897,1.0,1.0,1.0
N05C,Naive,0.8569444444379629,1.3564795586925391,182.64269742836274,152.2245512787449,1.0252865936278168,2.0,3.0,2.0
N05C,Seasonal Naive,0.9139660493814815,1.512168217877088,176.71268779520088,166.55945950729486,1.0917620034965652,3.0,2.0,3.0
R03,Moving Average,5.255435681216005,6.882593969309278,92.45151722242157,86.04029259315871,0.9687832567413229,1.0,1.0,1.0
R03,Naive,6.045129243832408,7.802914746232029,115.61065277258598,102.25373814679163,1.1259234622269334,2.0,2.0,2.0
R03,Seasonal Naive,6.751070601850926,9.140253677203726,116.34102813560061,114.81108681600881,1.2451708372884709,3.0,3.0,3.0
R06,Moving Average,1.7644272486825399,2.2133860794643705,69.03407942522394,63.57763287163137,0.8851293919015512,1.0,1.0,1.0
R06,Naive,2.0979259259314817,2.5637870073192426,95.53559615004377,74.83910923318713,1.0533384009845834,2.0,3.0,2.0
R06,Seasonal Naive,2.1998487654342593,2.7930020187332123,88.36786078151442,79.45995744248474,1.1029281830154571,3.0,2.0,3.0
